Well,Plate,CD41_APCH7,ANXA1_APC,Zombie_violet,PVR_PECy7,CD51_FITC,VEGFR1_594,CD168_700,Colony
O24,1,"4,555","1,026",106,767,"1,172",231,"1,749",N
P1,1,642,879,69,925,190,166,"1,000",N
P2,1,650,655,65,417,303,198,621,N
P3,1,602,"1,322",183,947,532,491,"3,030",N
P4,1,"-1,786",594,192,911,358,969,"71,883",N
P5,1,"2,381",772,205,328,488,377,"1,178",N
P6,1,"2,525","1,239",144,876,551,211,571,N
P7,1,555,405,181,775,360,298,764,N
P8,1,351,165,64,609,178,276,179,N
P9,1,379,"1,198",124,548,462,275,"1,311",N
P10,1,"3,380","1,433",150,"1,668",846,513,"2,246",Y
P11,1,688,"1,438",321,"1,015",648,460,"4,757",N
P12,1,883,"1,202",177,"1,291",376,289,"2,332",N
P13,1,547,363,52,"1,139",223,60,774,N
P14,1,304,531,115,"1,305",316,216,422,N
P15,1,"1,639","1,543",296,"1,397","4,960",526,"1,272",N
P16,1,309,85,83,728,204,149,681,N
P17,1,"3,784",906,131,"1,483",802,271,"2,105",N
P18,1,"2,845","1,292",59,"1,035",439,462,"2,074",N
P19,1,"1,079",113,52,"1,616",319,14,337,N
P20,1,"2,204",850,239,5,648,160,"2,731",N
P21,1,"2,124",326,85,592,470,169,985,N
P22,1,625,320,76,"1,857",256,187,347,N
P23,1,995,"1,215",114,"1,604",482,380,"1,973",N
P24,1,303,240,44,982,177,54,-64,N
A1,2,"5,486",25,65,61,567,99,"2,072",N
A2,2,"2,460",710,81,"1,774",837,191,"1,617",N
A3,2,"4,135",75,40,"1,914",478,147,"1,605",N
A4,2,"1,314",227,51,365,239,183,"1,784",N
A5,2,"1,246",245,49,"1,068",261,141,"1,441",Y
A6,2,"1,340",488,182,315,544,419,587,N
A7,2,"3,263",444,212,301,554,148,"1,451",N
A8,2,"1,538",456,190,913,618,212,"2,564",N
A9,2,"2,954",132,84,882,328,106,"1,265",N
A10,2,"5,730","1,517",109,280,584,405,"1,371",N
A11,2,"4,490",347,139,"1,281",594,214,"1,761",N
A12,2,"5,649",927,126,535,989,245,"1,067",N
A13,2,"1,045",492,221,577,563,274,"1,438",N
A14,2,200,182,71,884,190,97,366,N
A15,2,"1,903",301,68,584,379,117,"1,196",N
A16,2,"3,125",529,84,617,422,119,"1,593",N
A17,2,346,224,72,646,198,127,538,N
A18,2,"2,707","1,075",206,"1,044",643,425,"1,382",N
A19,2,163,227,82,"1,143",233,140,477,N
A20,2,"3,892",412,159,"1,698",798,320,"3,254",N
A21,2,181,319,63,"1,067",182,135,263,N
A22,2,"3,395",690,196,"1,350",673,304,"10,552",N
A23,2,315,213,61,"1,881",244,136,253,N
A24,2,213,19,128,309,200,168,331,N
B1,2,890,408,91,"1,049",360,144,"1,577",N
B2,2,710,56,164,802,311,204,"1,196",N
B3,2,928,60,181,355,447,388,416,N
B4,2,"2,257","1,356",224,667,423,283,"5,317",N
B5,2,"4,953",419,182,10,454,300,634,N
B6,2,"1,865",20,63,702,439,122,332,N
B7,2,"2,376",323,262,539,455,456,317,N
B8,2,681,406,102,"1,688",577,164,"1,293",N
B9,2,140,81,112,"1,424",330,71,382,N
B10,2,180,20,52,"1,596",112,79,327,N
B11,2,"1,152",415,162,"1,566",437,206,"2,220",N
B12,2,-83,352,81,556,155,122,277,N
B13,2,"12,446",836,133,"1,899","1,173",323,"1,737",N
B14,2,576,"1,322",49,"1,162",179,92,"1,012",N
B15,2,"1,682",413,80,619,374,130,"1,700",N
B16,2,"3,545",272,80,507,422,68,982,N
B17,2,"9,377",400,227,708,598,258,741,N
B18,2,"6,429",94,85,"1,498",491,103,648,N
B19,2,"2,851",176,98,"1,171",434,236,"1,839",N
B20,2,"2,902",357,57,"1,304",312,182,"1,520",N
B21,2,"6,539",271,53,653,355,36,562,N
B22,2,460,196,35,"1,295",232,83,411,N
B23,2,956,351,51,"1,254",130,37,719,N
B24,2,"1,275",170,154,736,390,116,"2,494",Y
C1,2,312,111,50,648,87,73,569,N
C2,2,"2,038",249,88,878,698,55,"1,203",N
C3,2,"1,881",96,81,242,214,123,"1,405",N
C4,2,"2,593",212,48,"1,382",351,95,"1,575",N
C5,2,"5,760",484,196,174,655,266,713,N
C6,2,488,180,114,"1,236",267,170,"1,753",N
C7,2,"2,651",193,85,550,177,150,761,N
C8,2,"2,016",351,180,462,442,301,"1,185",N
C9,2,"3,692",593,79,553,526,225,"2,282",N
C10,2,"3,202",496,84,697,805,119,996,N
C11,2,"2,892",190,90,451,304,178,891,N
C12,2,"4,476",772,129,119,657,269,"1,263",N
C13,2,"2,050",137,79,935,330,68,615,N
C14,2,447,147,18,953,142,20,686,N
C15,2,"4,231",41,126,487,819,139,813,N
C16,2,"5,037",320,139,"1,018",677,174,847,N
C17,2,32,233,57,"1,079",149,81,446,N
C18,2,"6,788",813,165,50,989,326,"3,675",N
C19,2,"1,464",247,67,"1,663",251,140,"1,410",N
C20,2,"6,752",765,237,518,870,278,"1,365",N
C21,2,"6,301",745,112,519,675,335,"1,205",N
C22,2,"1,002",67,63,565,279,128,852,N
C23,2,"5,367",557,96,143,966,272,"2,153",N
C24,2,"1,406",320,118,748,275,381,487,N
D1,2,"1,644",351,85,378,245,116,404,N
D2,2,"7,134","2,559",263,813,959,575,"7,534",N
D3,2,"4,493",851,195,844,748,237,"2,455",N
D4,2,"1,667",272,110,"1,581",443,124,"1,137",N
D5,2,"1,341",514,118,"1,781",712,300,897,N
D6,2,"3,568",584,173,948,831,832,"6,972",N
D7,2,"2,125",191,33,383,325,174,520,N
D8,2,"5,598",325,105,673,722,61,811,N
D9,2,"4,358",425,111,822,"1,105",207,"1,656",N
D10,2,"3,358",384,106,741,419,153,916,N
D11,2,244,100,71,780,104,175,345,N
D12,2,386,103,52,989,182,106,110,N
